"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "probeset"
"OsAffx.26050.2.S2_x_at" 191.635772999835 29.3468351473251 22.0180884785694 1.93833305123361e-39 1.0643581545061e-37 78.9636035014374 "OsAffx.26050.2.S2_x_at"
"Os.7962.1.S1_a_at" 186.353262800609 18.8862398894776 35.3318326938934 4.62151022574791e-57 5.71533404685057e-55 119.769652270212 "Os.7962.1.S1_a_at"
"Os.38378.1.S1_a_at" 168.172085826299 10.207125466831 78.7057785299141 1.88187690239569e-89 1.92831893595124e-86 194.205336061819 "Os.38378.1.S1_a_at"
"Os.7992.1.S1_a_at" 166.309870821786 25.3627501837309 12.3113148585674 1.64935854515705e-21 4.68068704442145e-20 37.4648669638057 "Os.7992.1.S1_a_at"
"Os.7992.3.S1_x_at" 162.987090428036 27.799453366385 11.2179565985617 3.38598753414051e-19 8.79161704452718e-18 32.1274257089991 "Os.7992.3.S1_x_at"
"Os.7986.1.S1_at" 138.062201709411 6.41608058879418 131.186981286521 1.08506377211321e-110 8.89473276734288e-107 241.690054725341 "Os.7986.1.S1_at"
"Os.7915.1.S1_a_at" 127.844413417064 22.7421562160269 18.506860425815 1.55555571600896e-33 6.85041428212018e-32 65.2861695067076 "Os.7915.1.S1_a_at"
"Os.12767.1.S1_a_at" 118.957025698254 27.1245810633201 13.8574179654336 1.07209206165757e-24 3.44643062644453e-23 44.8300650469394 "Os.12767.1.S1_a_at"
"Os.9767.1.S1_at" 117.244107979377 6.43295085513545 95.3133100707651 2.190134694843e-97 4.48836818069575e-94 212.149483115311 "Os.9767.1.S1_at"
"OsAffx.26050.37.S1_s_at" 113.591210701869 12.5802590663967 29.5858687796945 3.07544922572494e-50 2.77914059008737e-48 103.978792519282 "OsAffx.26050.37.S1_s_at"
"Os.10113.1.S1_at" 109.972484987629 5.60796473079711 97.4847421577048 2.53863777234281e-98 6.33357011532936e-95 214.252825648193 "Os.10113.1.S1_at"
"Os.27866.1.S1_at" 108.445586349118 9.15986261459954 47.4076119281189 9.98120483867027e-69 2.35696088910526e-66 146.711897138158 "Os.27866.1.S1_at"
"Os.7941.2.S1_a_at" 107.14277551177 30.9747935543338 7.49203142784838 3.22273805135942e-11 5.86884020511286e-10 13.7874979320587 "Os.7941.2.S1_a_at"
"Os.12027.1.S1_a_at" 103.39359213411 30.3596423775982 11.1007536577798 6.02298469567117e-19 1.54774253384238e-17 31.5504810584979 "Os.12027.1.S1_a_at"
"Os.28403.1.S1_a_at" 102.550474111387 12.5668354357443 23.2788718795707 2.07693428640027e-41 1.240152374841e-39 83.5275549772401 "Os.28403.1.S1_a_at"
"Os.28133.1.S1_x_at" 101.510317780031 13.9533967894508 18.0076875771517 1.21376343756162e-32 5.20539413857703e-31 63.2197978011365 "Os.28133.1.S1_x_at"
"Os.15428.1.S1_at" 96.5888163763938 6.14895855982763 96.7804273493653 5.08039786640186e-98 1.2146807932078e-94 213.576014922274 "Os.15428.1.S1_at"
"Os.15917.1.S1_at" 96.2438841136323 9.71655499926434 22.824561744895 1.04384586312985e-40 6.06254689454626e-39 81.903041337534 "Os.15917.1.S1_at"
"Os.12787.1.S1_at" 96.0120505032922 7.29188342291398 25.3218155393591 1.90247051482331e-44 1.29806852653497e-42 90.5657003408524 "Os.12787.1.S1_at"
"Os.7974.1.S1_at" 92.5336021639159 11.1859706300262 28.9170488117454 2.24497937512452e-49 1.93425535290383e-47 101.979785402874 "Os.7974.1.S1_at"
"Os.11773.1.S1_at" 90.0071998527246 23.9767573651892 10.7314599039668 3.71687645007375e-18 9.26909189300879e-17 29.7280019607884 "Os.11773.1.S1_at"
"Os.7872.1.S1_at" 87.9625273626947 5.88037967308472 64.8618381357014 1.75543670356054e-81 9.77965717705929e-79 176.022774732839 "Os.7872.1.S1_at"
"Os.7860.1.S1_at" 87.6458829197745 12.42646645353 28.3899575696196 1.10367160682794e-48 9.12548762867444e-47 100.378170871341 "Os.7860.1.S1_at"
"OsAffx.32213.1.S1_x_at" 87.438006686073 10.9477758734927 30.894791008444 6.96453613606808e-52 6.89032780275619e-50 107.787325098421 "OsAffx.32213.1.S1_x_at"
"Os.4608.3.A1_a_at" 87.0448168054867 10.2467279691891 29.1613529199603 1.08152456001095e-49 9.54769881577666e-48 102.714237935312 "Os.4608.3.A1_a_at"
"Os.2248.1.S1_at" 86.2473909264299 6.41851832770207 74.6735121745643 2.79668992203103e-87 2.26027691698569e-84 189.263241284243 "Os.2248.1.S1_at"
"Os.12594.1.S1_x_at" 85.6085800564969 5.82519541270203 43.1352752207051 6.10795958160184e-65 1.1416512596465e-62 137.976541461531 "Os.12594.1.S1_x_at"
"OsAffx.32287.1.S1_x_at" 85.4500117999962 64.6115362168921 7.77299328123476 8.27393315452162e-12 1.55766021086863e-10 15.1384423391134 "OsAffx.32287.1.S1_x_at"
