id	desc	stage	replicate	color	GSM
An1.r1	Anther at An1, biological rep1	An1	r1	#E5EC32	GSM351427
An1.r2	Anther at An1, biological rep2	An1	r2	#E5EC32	GSM351428
An1.r3	Anther at An1, biological rep3	An1	r3	#E5EC32	GSM351429
Mei1.r1	Anther at Mei1, biological rep1	Mei1	r1	#ECCF32	GSM351430
Mei1.r2	Anther at Mei1, biological rep2	Mei1	r2	#ECCF32	GSM351431
Mei1.r3	Anther at Mei1, biological rep3	Mei1	r3	#ECCF32	GSM351432
M1.r1	Anther at M1, biological rep1	M1	r1	#ECAF32	GSM351433
M1.r2	Anther at M1, biological rep2	M1	r2	#ECAF32	GSM351434
M1.r3	Anther at M1, biological rep3	M1	r3	#ECAF32	GSM351435
M1.r4	Anther at M1, biological rep4	M1	r4	#ECAF32	GSM351436
M2.r1	Anther at M2, biological rep1	M2	r1	#EC8832	GSM351437
M2.r2	Anther at M2, biological rep2	M2	r2	#EC8832	GSM351438
M2.r3	Anther at M2, biological rep3	M2	r3	#EC8832	GSM351439
M3.r1	Anther at M3, biological rep1	M3	r1	#EC5932	GSM351440
M3.r2	Anther at M3, biological rep2	M3	r2	#EC5932	GSM351441
M3.r3	Anther at M3, biological rep3	M3	r3	#EC5932	GSM351442
M3.r4	Anther at M3, biological rep4	M3	r4	#EC5932	GSM351443
P1.r1	Anther at P1, biological rep1	P1	r1	#EC3233	GSM351444
P1.r2	Anther at P1, biological rep2	P1	r2	#EC3233	GSM351445
P1.r3	Anther at P1, biological rep3	P1	r3	#EC3233	GSM351446
P2.r1	Anther at P2, biological rep1	P2	r1	#EC324B	GSM351447
P2.r2	Anther at P2, biological rep2	P2	r2	#EC324B	GSM351448
P2.r3	Anther at P2, biological rep3	P2	r3	#EC324B	GSM351449
P3.r1	Anther at P3, biological rep1	P3	r1	#EC326D	GSM351450
P3.r2	Anther at P3, biological rep2	P3	r2	#EC326D	GSM351451
P3.r3	Anther at P3, biological rep3	P3	r3	#EC326D	GSM351452
St.r1	Stigma control, biological rep1	St	r1	#78CC56	GSM357614
St.r2	Stigma control, biological rep2	St	r2	#78CC56	GSM357615
St.r3	Stigma control, biological rep3	St	r3	#78CC56	GSM357616
Ov0.r1	Ovary control, biological rep1	Ov0	r1	#579040	GSM357617
