Genome_size	ORF_number
Aaci	3018	3032
AbauD01	3904	3841
Acap	4127	3492
Acel	2443	2266
Acfe	2158	2092
Amir	8248	7177
Asuc	2319	2276
Bcav	4669	4278
Bfra	5277	4730
BfraB01	5205	4409
Bmic	3337	3291
Buph	8093	7487
Bxen	9279	9119
Caac	10467	9125
Caci	2246	1820
Cdif	4290	3989
Chut	4433	3880
Cphy	4847	4076
Cpin	9127	7397
Dace	4545	4470
Dfer	6967	5855
Dgeo	2467	3207
Dred	3608	3452
Dret	2864	2559
Dshi	3789	4321
Dtur	1855	1744
EcolD01	5231	5664
Gbem	4615	4106
Gbet	2708	2553
Hbut	1667	1671
Hmuk	3332	3475
Hoch	9446	6952
Huta	3116	3076
Hysp	1559	1691
Jasp	4317	4381
Kfla	7579	7149
Kkor	2852	2695
Ksed	2785	2703
Maeo	1569	1595
Mama	3368	3184
Maqu	4326	4395
Mbar	4837	3843
Mbur	2575	2555
MemaD01	1661	1779
Mfla	2971	2874
MhyoC01	920	744
Mlab	1804	1889
Mlep	3268	2749
Mpet	4044	4619
Msil	4305	4386
Msmi	1853	1880
Mthe	1751	1894
Mvan	6491	6092
Myma	6636	5550
Npro	1676	1745
Pars	2121	2455
Pcal	2009	2237
Pema	1930	1981
Pgin	2343	1988
Plav	3914	3752
Pnap	4410	5046
Psta	6196	4825
Pyae	2222	2659
Rfer	4712	4606
RlegB01	4537	6705
RlegC01	4767	4565
Rmar	3386	2962
Saci	2225	2344
Save	9025	7785
Sdeg	5057	4114
Sden	4545	4023
SentF01	4800	5857
SequB01	2253	2243
SequC01	2149	2058
Sfle	4607	4873
ShspC01	4972	4649
Smar	1570	1661
Smed	3781	6644
Spea	5174	4599
Spie	5396	4933
Spth	3993	3585
Sros	10396	9501
Srub	3551	2938
Susi	9965	8056
Syac	3179	3221
Syth	3566	3529
Tcur	5639	5061
Telo	2593	2557
Thac	1848	1825
Tkod	2088	2411
Tmel	1915	2002
Tpet	1823	1911
Tros	2006	1925
Tspx	2457	2529
Tvol	1584	1660
Vpar	5165	5052
XcamB01	5148	4351
Xcel	3742	3443
Xfas	2679	2901
